0,1,2,3,4,5,6,info
1,http://vybary2019.by/candidates/001-1.html,"БРИЧ 
Леонид Григорьевич",1958,депутат Палаты представителей Национального собрания Республики Беларусь,член Белорусской патриотической партии,"политическая партия, трудовой коллектив, сбор подписей избирателей","Родился 12 декабря 1958 года в д. Заплесье Дрогичинского района Брестской области.
Учился  в Пинском мясомолочном техникуме.
С 1978-го по 1980 год – служба в армии, после увольнения в запас – учеба в Могилевском технологическом институте. 
После окончания института, был направлен на работу в Пинск, где за короткий срок прошел путь от рядового технолога до директора городского треста столовых и ресторанов.
В 2003 году назначен генеральным директором РУП «Брестхлебпром» (ныне – ОАО «Берестейский пекарь).
В 2016 году Л.Г. Брич  избран депутатом Палаты представителей Национального собрания Республики Беларусь VI созыва, активно участвует в 
									законотворческой деятельности. Им внесены  существенные  изменения в законы о государственно-частном партнерстве, приватизации,  государственных закупках товаров (работ, услуг) и др. 
Глубоко знает проблемы  Брестского-Западного   избирательного округа № 1, наиболее важные из них направляет для рассмотрения в республиканские органы. По его предложениям внесены изменения в два Указа Президента Республики Беларусь, принято несколько постановлений Совета Министров.
При поддержке горисполкома и администрации Ленинского района помогает в решении вопросов, волнующих избирателей округа.
Участвует в общественной жизни. Является членом Белорусской патриотической партии, входит в состав Совета Брестской областной организации РОО «Белая Русь».
Награжден медалью «За трудовую доблесть», Почетной грамотой Палаты представителей Национального собрания Республики Беларусь.
Женат, имеет дочь и сына, троих внуков."
1,http://vybary2019.by/candidates/001-2.html,"КУРИЛОВИЧ 
Владимир Георгиевич",1981,директор ООО «Строймир Запад»,член Республиканской партии труда и справедливости,,"Родился  21 сентября 1981 года в  городе  Бресте.
В 1999 году  окончил  среднюю школу  № 9 г. Бреста.
1999 - 2005 годы – учеба в  УО «Брестский  государственный технический университет».
Получил второе высшее образование,  окончив «Институт технологий информатизации управления Белорусского государственного университета» в  2007году.
С 2005 по 2007 годы – служба в   Вооруженных силах Республики Беларусь.
Профессиональную деятельность начал в 2003 году,  будучи ещё студентом, работая менеджером в строительных организациях. 
С 2010 года и по настоящее время является директором ООО «СТРОЙМИР ЗАПАД». Организация  специализируется на производстве металлических дверей, металлоконструкций и малых архитектурных форм, занимается 
									установкой и техническим обслуживанием домофонных систем и систем видеонаблюдения.
Женат, воспитывает троих сыновей.  Ведёт здоровый образ  жизни, занимается спортом.
С 2018 года  депутат Брестского городского Совета депутатов XXVIII созыва."
2,http://vybary2019.by/candidates/002-1.html,"ВАСЬКО
Марина Викторовна",1975,заместитель директора по учебной работе ГУО «Гимназия №2 г. Бреста»,беспартийная,"сбор подписей избирателей, трудовой коллектив","Родилась 1 мая  1975 года в г. Бресте. Белоруска.
В 1997 году окончила Брестский государственный университет имени А.С. Пушкина по специальности «Белорусский язык, литература и история» с отличием.
С 1997 года  - учитель белорусского языка и литературы в государственном учреждении образования «Гимназия № 2 г. Бреста». 
С 2006 года по настоящее время – заместитель директора по учебной работе государственного учреждения образования «Гимназия №2 г. Бреста». Учитель высшей квалификационной категории.
Участник   республиканских   и   международных   конференций. Имеет   публикации    в  
методических изданиях. Награждена грамотой Министерства   образования Республики Беларусь за многолетнюю творческую работу, достигнутые успехи в обучении и воспитании подрастающего поколения. 

Беспартийная. Проживает в городе Бресте."
2,http://vybary2019.by/candidates/002-2.html,"МАРЧЕНКО
Дмитрий Евгеньевич",1970,пенсионер по инвалидности,член партии «Белорусская социал-демократическая Грамада»,политическая партия,"Родился 8 августа 1970 года в деревне Дедлово Рогачёвского района Гомельской области. Белорус.
Образование профессионально-техническое. Окончил Гомельское профессионально-техническое училище  №224 (торговли).
Пенсионер по инвалидности. Председатель первичной организации политической партии «Белорусская социал-демократическая Грамада». Проживает в городе Бресте."
2,http://vybary2019.by/candidates/002-3.html,"ОМЕЛЬЯНЧУК
Ирина Николаевна",1960,инженер ОАО «Стройгаз г. Брест»,член Партии БНФ,политическая партия,"Родилась 31 мая  1960 года. Белоруска. Образование высшее. 
										Окончила Брестский инженерно-строительный институт по специальности  «Промышленное и гражданское строительство» в 1982 году. 
										В настоящее время работает инженером в ОАО «Стройгаз г. Брест». 
										Член Партии БНФ. Проживает в городе Бресте."
2,http://vybary2019.by/candidates/002-4.html,"ПАСЬ
Александр Эдуардович",1989,заведующий складом ООО «Протокс»,член Белорусской партии левых «Справедливый мир»,политическая партия,"Родился 5 ноября    1989 года в городе Бресте. Белорус. 
										Образование профессионально-техническое. 
										Окончил  «Брестский государственный профессионально-технический колледж сферы обслуживания» по специальности радиомеханик, 
										слесарь по контрольно-измерительным приборам и автоматике. Работает  заведующим складом в ООО «Протокс». 
										Член Белорусской партии левых «Справедливый мир», член РИПОО «Говори Правду». Проживает в городе Бресте."
2,http://vybary2019.by/candidates/002-5.html,"ПОПЕКО
Валерий Александрович",1950,пенсионер,член Либерально-демократической партии,политическая партия,"Родился 30 марта 1950 года в городе Лунинце Брестской области. Белорус. 
									Образование среднее. Пенсионер. Член Либерально-демократической партии. Проживает в городе Бресте."
2,http://vybary2019.by/candidates/002-6.html,"ПРОШИН
Дмитрий Борисович",1981,заместитель директора СООО «Брествнештранс»,беспартийный,трудовой коллектив,"Родился 28 сентября   1981 года в  городе  Бресте. Белорус. Образование высшее. 
										Окончил учреждение образования «Брестский технический университет» по специальности «Экономика и управление на предприятии» в 2007 году.   
										С 2011 года   работает заместителем  директора  СООО «Брествнештранс».  
										Беспартийный. Проживает в городе Бресте."
3,http://vybary2019.by/candidates/003-1.html,"АНИЩЕНКО
Татьяна Григорьевна",1973,директор Брестского филиала РУП «Институт недвижимости и оценки»,член Белорусской патриотической партии,политическая партия,"Родилась 1 ноября 1973 года  в городе Бресте.
В 2000 году окончила Новый гуманитарный университет в городе Москве по специальности юриспруденция.
Трудовая деятельность – с 1990 года.
С 1998 года работала директором Брестского областного филиала РУП «Республиканский центр учета недвижимости» системы Министерства жилищно-коммунального хозяйства Республики Беларусь.
В настоящее время является директором Брестского филиала РУП «Институт недвижимости и оценки».
Член Белорусской патриотической партии.
Имеет двоих детей.
Проживает в городе Бресте."
3,http://vybary2019.by/candidates/003-2.html,"БОЯРЧУК
Алексей Анатольевич",1965,мастер станции автозаправочной РУП «Белоруснефть-Брестоблнефтепродукт»,член Либерально-демократической партии,политическая партия,"Родился 13 октября 1965 года  в городе Бресте.
В 1986 году окончил Харьковское гвардейское  высшее командное танковое 
									училище по специальности инженер по эксплуатации колесно-гусеничной техники.
С 2002 года работал техником-механиком общества с ограниченной ответственностью «Паритет».
С 2004 года – водитель РУП «Белоруснефть-Брестоблнефтепродукт» 
С 2005 года по настоящее время –   мастер автозаправочной станции РУП «Белоруснефть-Брестоблнефтепродукт».
Член Либерально-демократической партии.
Женат. Имеет двоих сыновей.
Проживает в городе Бресте."
