"number","name","url"
"1","Брестский-Западный избирательный округ № 1","http://vybary2019.by/regions/1.html"
"2","Брестский-Центральный избирательный округ № 2","http://vybary2019.by/regions/2.html"
"3","Брестский-Восточный избирательный округ № 3","http://vybary2019.by/regions/3.html"
"4","Брестский-Пограничный избирательный округ № 4","http://vybary2019.by/regions/4.html"
"5","Барановичский-Западный избирательный округ № 5","http://vybary2019.by/regions/5.html"
"6","Барановичский–Восточный избирательный округ № 6","http://vybary2019.by/regions/6.html"
"7","Барановичский сельский избирательный округ № 7","http://vybary2019.by/regions/7.html"
"8","Беловежский избирательный округ № 8","http://vybary2019.by/regions/8.html"
"9","Пружанский избирательный округ № 9","http://vybary2019.by/regions/9.html"
"10","Днепро-Бугский избирательный округ № 10","http://vybary2019.by/regions/10.html"
"11","Ивацевичский избирательный округ № 11","http://vybary2019.by/regions/11.html"
"12","Кобринский избирательный округ № 12","http://vybary2019.by/regions/12.html"
"13","Лунинецкий избирательный округ № 13","http://vybary2019.by/regions/13.html"
"14","Пинский городской избирательный округ № 14","http://vybary2019.by/regions/14.html"
"15","Пинский сельский избирательный округ № 15","http://vybary2019.by/regions/15.html"
"16","Столинский избирательный округ № 16","http://vybary2019.by/regions/16.html"
"17","Витебский-Горьковский избирательный округ № 17","http://vybary2019.by/regions/17.html"
"18","Витебский-Чкаловский избирательный округ № 18","http://vybary2019.by/regions/18.html"
"19","Витебский-Железнодорожный избирательный округ № 19","http://vybary2019.by/regions/19.html"
"20","Витебский-Октябрьский избирательный округ № 20","http://vybary2019.by/regions/20.html"
"21","Городокский избирательный округ № 21","http://vybary2019.by/regions/21.html"
"22","Докшицкий избирательный округ № 22","http://vybary2019.by/regions/22.html"
"23","Лепельский избирательный округ № 23","http://vybary2019.by/regions/23.html"
"24","Новополоцкий избирательный округ № 24","http://vybary2019.by/regions/24.html"
"25","Оршанский городской избирательный округ № 25","http://vybary2019.by/regions/25.html"
"26","Оршанский-Днепровский избирательный округ № 26","http://vybary2019.by/regions/26.html"
"27","Полоцкий городской избирательный округ № 27","http://vybary2019.by/regions/27.html"
"28","Полоцкий сельский избирательный округ № 28","http://vybary2019.by/regions/28.html"
"29","Поставский избирательный округ № 29","http://vybary2019.by/regions/29.html"
"30","Сенненский избирательный округ № 30","http://vybary2019.by/regions/30.html"
"31","Гомельский-Юбилейный избирательный округ № 31","http://vybary2019.by/regions/31.html"
"32","Гомельский-Сельмашевский избирательный округ № 32","http://vybary2019.by/regions/32.html"
"33","Гомельский-Центральный избирательный округ № 33","http://vybary2019.by/regions/33.html"
"34","Гомельский-Советский избирательный округ № 34","http://vybary2019.by/regions/34.html"
"35","Гомельский-Промышленный избирательный округ № 35","http://vybary2019.by/regions/35.html"
"36","Гомельский-Новобелицкий избирательный округ № 36","http://vybary2019.by/regions/36.html"
"37","Гомельский сельский избирательный округ № 37","http://vybary2019.by/regions/37.html"
"38","Буда-Кошелевский избирательный округ № 38","http://vybary2019.by/regions/38.html"
"39","Житковичский избирательный округ № 39","http://vybary2019.by/regions/39.html"
"40","Жлобинский избирательный округ № 40","http://vybary2019.by/regions/40.html"
"41","Калинковичский избирательный округ № 41","http://vybary2019.by/regions/41.html"
"42","Мозырский избирательный округ № 42","http://vybary2019.by/regions/42.html"
"43","Полесский избирательный округ № 43","http://vybary2019.by/regions/43.html"
"44","Речицкий избирательный округ № 44","http://vybary2019.by/regions/44.html"
"45","Рогачевский избирательный округ № 45","http://vybary2019.by/regions/45.html"
"46","Светлогорский избирательный округ № 46","http://vybary2019.by/regions/46.html"
"47","Хойникский избирательный округ № 47","http://vybary2019.by/regions/47.html"
"48","Волковысский избирательный округ № 48","http://vybary2019.by/regions/48.html"
"49","Гродненский-Занеманский избирательный округ № 49","http://vybary2019.by/regions/49.html"
"50","Гродненский-Октябрьский избирательный округ № 50","http://vybary2019.by/regions/50.html"
"51","Гродненский-Центральный избирательный округ № 51","http://vybary2019.by/regions/51.html"
"52","Гродненский-Ленинский избирательный округ № 52","http://vybary2019.by/regions/52.html"
"53","Гродненский сельский избирательный округ № 53","http://vybary2019.by/regions/53.html"
"54","Ивьевский избирательный округ № 54","http://vybary2019.by/regions/54.html"
"55","Лидский избирательный округ № 55","http://vybary2019.by/regions/55.html"
"56","Неманский избирательный округ № 56","http://vybary2019.by/regions/56.html"
"57","Замковый избирательный округ № 57","http://vybary2019.by/regions/57.html"
"58","Слонимский избирательный округ № 58","http://vybary2019.by/regions/58.html"
