name,lastName,firstName,middleName,sex,alreadyInParliament,birthDate,jobTitle,partyRaw,party,promotionType,homeAddressRaw,homeAddress,candidateDetailsUrl,electionDistrict,electionDistrictNumber,electionDistrictCapacity,electionDistrictCandidates,electionDistrictRegion
Брич Леонид Григорьевич,Брич,Леонид,Григорьевич,M,1,1958,депутат Палаты представителей Национального собрания Республики Беларусь,член Белорусской патриотической партии,член Белорусской патриотической партии,"политическая партия, трудовой коллектив, сбор подписей избирателей",г. Минск,г. Минск,/candidates/001-1.html,Брестский-Западный избирательный округ,1,68801,2,Брестская область
Курилович Владимир Георгиевич,Курилович,Владимир,Георгиевич,M,0,1981,директор ООО «Строймир Запад»,член Республиканской партии труда и справедливости,член Республиканской партии труда и справедливости,политическая партия,г. Брест,г. Брест,/candidates/001-2.html,Брестский-Западный избирательный округ,1,68801,2,Брестская область
Васько Марина Викторовна,Васько,Марина,Викторовна,F,0,1975,заместитель директора по учебной работе ГУО «Гимназия №2 г. Бреста»,беспартийная,не состоит в партии,"сбор подписей избирателей, трудовой коллектив",г. Брест,г. Брест,/candidates/002-1.html,Брестский-Центральный избирательный округ,2,57459,6,Брестская область
Марченко Дмитрий Евгеньевич,Марченко,Дмитрий,Евгеньевич,M,0,1970,пенсионер по инвалидности,член партии «Белорусская социал-демократическая Грамада»,член Белорусской социал-демократической партии (Грамада),политическая партия,г. Брест,г. Брест,/candidates/002-2.html,Брестский-Центральный избирательный округ,2,57459,6,Брестская область
Омельянчук Ирина Николаевна,Омельянчук,Ирина,Николаевна,F,0,1960,инженер ОАО «Стройгаз г. Брест»,член Партии БНФ,член Партии БНФ,политическая партия,г. Брест,г. Брест,/candidates/002-3.html,Брестский-Центральный избирательный округ,2,57459,6,Брестская область
Пась Александр Эдуардович,Пась,Александр,Эдуардович,M,0,1989,заведующий складом ООО «Протокс»,член Белорусской партии левых «Справедливый мир»,член Белорусской партии левых «Справедливый мир»,политическая партия,г. Брест,г. Брест,/candidates/002-4.html,Брестский-Центральный избирательный округ,2,57459,6,Брестская область
Попеко Валерий Александрович,Попеко,Валерий,Александрович,M,0,1950,пенсионер,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Брест,г. Брест,/candidates/002-5.html,Брестский-Центральный избирательный округ,2,57459,6,Брестская область
Прошин Дмитрий Борисович,Прошин,Дмитрий,Борисович,M,0,1981,заместитель директора СООО «Брествнештранс»,беспартийный,не состоит в партии,трудовой коллектив,г. Брест,г. Брест,/candidates/002-6.html,Брестский-Центральный избирательный округ,2,57459,6,Брестская область
Анищенко Татьяна Григорьевна,Анищенко,Татьяна,Григорьевна,F,0,1973,директор Брестского филиала РУП «Институт недвижимости и оценки»,член Белорусской патриотической партии,член Белорусской патриотической партии,политическая партия,г. Брест,г. Брест,/candidates/003-1.html,Брестский-Восточный избирательный округ,3,60524,7,Брестская область
Боярчук Алексей Анатольевич,Боярчук,Алексей,Анатольевич,M,0,1965,мастер станции автозаправочной РУП «Белоруснефть-Брестоблнефтепродукт»,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Брест,г. Брест,/candidates/003-2.html,Брестский-Восточный избирательный округ,3,60524,7,Брестская область
Дашко Анатолий Михайлович,Дашко,Анатолий,Михайлович,M,1,1960,депутат Палаты представителей Национального собрания Республики Беларусь,беспартийный,не состоит в партии,"сбор подписей избирателей, трудовой коллектив",г. Минск,г. Минск,/candidates/003-3.html,Брестский-Восточный избирательный округ,3,60524,7,Брестская область
Канюс Анна Владимировна,Канюс,Анна,Владимировна,F,0,1978,директор просветительского социально-информационного учреждения «РАВЕНСТВОиСПРАВЕДЛИВОСТЬ»,член Белорусской социал-демократической партии (Грамада),член Белорусской социал-демократической партии (Грамада),политическая партия,г. Брест,г. Брест,/candidates/003-4.html,Брестский-Восточный избирательный округ,3,60524,7,Брестская область
